Text,Label,reads,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
"If you are referring to the standard error or the difference as in the difference of two means, that's not the same thing as this problem. In this problem you take each subjects before and after scores, compute the difference between their before and after scores and then average those differences. In the example you are talking about above, we would take the average for all of the first scores, then the average for all of the second scores and then find the differences of those two averages. That is an entirely different creature mathematically, if you had the individual scores you could compute either but, if you do not have the individual scores, you cannot compute what we want using either the two averages and SDs or the pooled SD. It's not in general possible.",1,455,136,76.08,50,37.68,8.31,27.2,21.32,93.38,59.56,13.97,7.35,0,1.47,5.15,0,0.74,6.62,11.76,14.71,8.09,0.74,11.76,2.94,13.24,13.97,11.03,0.74,3.68,6.62,1.47,0,1.47,0,0,0,9.56,0,0,0,0,22.79,2.21,0.74,5.88,4.41,2.21,13.24,0,0,0,0,0,0,0,0,0,10.29,1.47,0.74,0.74,5.88,1.47,0.74,9.56,2.21,9.56,0,3.68,5.88,2.94,0.74,0,0,0,0,0,0,0,0,0,0,10.29,3.68,5.15,0,0,0,0,0,0,1.47,0,0
Most of the datasets are available in the optional R exercises.,1,97,11,99,50,2.4,25.77,11,36.36,81.82,45.45,0,0,0,0,0,0,0,0,18.18,18.18,9.09,0,0,0,9.09,9.09,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,18.18,0,0,0,18.18,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,9.09,0,0,9.09,0,0,0,0,9.09,0,9.09,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0
"Sorry, I accidentally click the \Report Misuse\"" when I scrolled down the website. I felt really sorry.""",0,77,17,59.32,1,99,1,8.5,17.65,76.47,47.06,17.65,17.65,17.65,0,0,0,0,0,11.76,5.88,0,11.76,5.88,0,5.88,11.76,0,5.88,0,0,11.76,0,11.76,0,0,11.76,0,0,0,0,0,11.76,5.88,0,0,0,0,5.88,11.76,0,5.88,5.88,0,0,0,0,0,5.88,0,0,5.88,0,0,5.88,0,0,11.76,0,5.88,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0,41.18,11.76,5.88,0,0,0,0,0,11.76,0,0,11.76
"Confidence intervals for a statistic are always calculated with the standard error of the statistic. Sometimes people use the standard deviation to give a reference range for a population--e.g., 95% of people fall within XX and XX values for height. The optional reading on confidence intervals explains this in more detail.For the other question on how to judge null values: for relative risks the null value is 1.0 (because it's a ratio). For differences in proportions or means, the null value is 0.",1,156,85,99,59.29,58.9,98.87,21.25,24.71,75.29,43.53,3.53,0,0,0,0,0,0,3.53,12.94,18.82,4.71,1.18,4.71,0,10.59,2.35,2.35,1.18,3.53,1.18,8.24,7.06,1.18,1.18,0,0,5.88,0,0,0,0,17.65,4.71,3.53,0,4.71,3.53,3.53,0,0,0,0,0,0,0,0,0,4.71,0,2.35,3.53,2.35,1.18,0,9.41,0,14.12,1.18,7.06,4.71,0,0,0,0,0,0,0,0,0,0,0,0,18.82,8.24,2.35,1.18,0,0,0,2.35,0,1.18,2.35,1.18
"Yes, you could imagine a situation where this is the case. Let's say group A starts low and group B starts high. During the study group A goes up in values and group B goes down. Overall, there may be no significant change over time (because A went up and B went down, canceling each other out). The average value of each group may also be similar across timepoints, so there would be no main effect for group. However, the changes over time do differ significantly between the groups. It's not common, but it could happen!",1,58,96,72.69,66.17,93.74,44.87,13.71,13.54,93.75,54.17,6.25,2.08,0,1.04,1.04,0,0,4.17,9.38,13.54,11.46,6.25,8.33,3.12,20.83,4.17,1.04,1.04,0,10.42,3.12,2.08,1.04,0,0,1.04,10.42,0,0,0,0,16.67,2.08,4.17,3.12,3.12,0,5.21,1.04,0,1.04,0,0,0,0,0,0,16.67,8.33,0,8.33,0,0,2.08,13.54,2.08,26.04,6.25,12.5,6.25,1.04,0,0,0,0,0,4.17,0,3.12,1.04,0,0,17.71,6.25,6.25,0,0,0,1.04,0,0,2.08,2.08,0
"Type I error occurs when you reject the null hypothesis and the null is actually true. If the null hypothesis is true, then the probability of a type I error is the preset statistical significance level (usually .05). If the null hypothesis is false, then the probability of a type I error is 0. I think the confusion here is that it's actually not easy to calculate the probability of a type I error since we don't usually know for sure whether the null is true! It might be helpful to read the optional reading on multiple testing.",1,64,98,60.17,20.71,39.4,97.12,19.6,20.41,78.57,59.18,10.2,7.14,5.1,1.02,1.02,0,0,3.06,14.29,8.16,11.22,9.18,7.14,2.04,16.33,5.1,0,2.04,2.04,1.02,7.14,6.12,1.02,0,0,1.02,3.06,0,0,0,0,24.49,2.04,1.02,2.04,13.27,4.08,6.12,0,0,0,0,0,0,0,0,0,3.06,2.04,0,1.02,0,0,0,12.24,3.06,8.16,0,2.04,6.12,2.04,0,0,0,0,0,0,0,0,0,0,0,11.22,4.08,2.04,0,0,0,1.02,0,0,2.04,2.04,0
"Good luck--it's a little late to join and earn a Certificate of Accomplishment (but not entirely impossible, since you still have until August 16). But the course archives will remain up, so you can also just go through all the materials at your own pace.",1,111,46,60.05,66.81,68.63,93.61,23,15.22,86.96,56.52,8.7,6.52,0,0,6.52,0,0,2.17,8.7,15.22,8.7,8.7,13.04,2.17,10.87,4.35,0,0,2.17,4.35,4.35,4.35,0,0,0,0,6.52,0,0,0,0,17.39,0,2.17,2.17,2.17,4.35,6.52,0,0,0,0,0,0,0,0,0,13.04,2.17,4.35,2.17,6.52,0,0,10.87,2.17,19.57,2.17,6.52,10.87,8.7,0,0,0,0,0,0,0,0,0,0,0,19.57,4.35,4.35,0,0,0,0,4.35,0,2.17,4.35,0
"Degrees of freedom tells you how many independent pieces of information you have. So, if you have 100 datapoints but you calculate 1 mean, then you only have 99 degrees of freedom left (if I give you the mean plus any 99 of the datapoints, you can give me the 100th datapoint. So there are only 99 unique pieces of information once you have the mean). To calculate the standard deviation for 1 sample, you have to first calculate one mean so you lose one degree of freedom. To calculate the pooled standard deviation, you must first calculate two means, so you lose 2 standard deviations.",1,108,106,47.86,98.08,9.72,42.91,21.2,20.75,76.42,48.11,13.21,13.21,1.89,0,11.32,0,0,0,5.66,10.38,7.55,7.55,9.43,0,16.98,4.72,0.94,0.94,12.26,4.72,4.72,2.83,1.89,0,0,1.89,14.15,0,0,0,0,13.21,6.6,1.89,2.83,2.83,0.94,2.83,0,0,0,0,0,0,0,0,0,4.72,0,3.77,0,0.94,1.89,0.94,16.04,0.94,4.72,0,0.94,3.77,0,0.94,0,0,0,0,0,0,0,0,0,0,12.26,4.72,5.66,0,0,0,0,0,0,0,1.89,0
"If you have equal sample sizes, the pooled standard deviation will just be the square root of the average variance (second formula posted above). When you have unequal sample sizes, you have to weight each group's contribution by its sample size. The second set of formulas posted above accounts for this weighting.",1,112,52,86.09,87.57,1,25.77,17.33,19.23,76.92,46.15,9.62,5.77,0,0,5.77,0,0,3.85,7.69,13.46,9.62,3.85,3.85,0,13.46,5.77,1.92,1.92,3.85,13.46,0,0,0,0,0,0,7.69,0,0,0,0,3.85,0,1.92,1.92,1.92,0,1.92,3.85,1.92,0,1.92,1.92,0,0,0,1.92,5.77,1.92,0,3.85,0,0,3.85,7.69,1.92,5.77,0,3.85,1.92,0,1.92,0,1.92,0,0,0,0,0,0,0,0,15.38,5.77,3.85,0,0,0,0,0,0,1.92,3.85,0
1. A confounder must change the relationship between the predictor and outcome of interest (the beta between these). 2. The authors focused on DSST because this had the strongest relationship with Vitamin D. The other cognitive measures were weaker or not significantly related.,1,104,43,96.6,40.82,5.92,69.6,8.6,39.53,74.42,51.16,6.98,0,0,0,0,0,0,6.98,16.28,11.63,6.98,0,6.98,2.33,6.98,4.65,4.65,0,4.65,0,6.98,4.65,2.33,0,0,0,6.98,0,0,0,0,18.6,2.33,6.98,2.33,2.33,2.33,6.98,0,0,0,0,4.65,0,4.65,0,0,9.3,4.65,0,4.65,0,0,4.65,0,2.33,4.65,2.33,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,16.28,11.63,0,0,0,0,0,0,0,0,4.65,0
"You can statistically compare two betas. But remember that statistical significance depends also on sample size and variability, so using statistical significance to evaluate confounding could miss important confounders in certain situations or include unimportant ones in others. We are not trying to prove that something is or isn't a confounder; we just want to account for it to try to isolate the effect of the variable we care about. Thus, it's better to define confounders strictly by how they change the magnitude of the relationship between the main predictor and outcome.",1,73,92,71.39,58.59,12.61,45.75,23,31.52,82.61,52.17,11.96,5.43,0,3.26,1.09,0,1.09,6.52,6.52,16.3,6.52,6.52,8.7,2.17,15.22,3.26,2.17,1.09,1.09,1.09,7.61,4.35,3.26,0,0,3.26,6.52,0,0,0,0,27.17,5.43,7.61,2.17,8.7,2.17,6.52,0,0,0,0,0,0,0,0,0,9.78,4.35,3.26,2.17,1.09,0,1.09,13.04,1.09,4.35,1.09,3.26,0,0,0,0,1.09,0,0,0,0,0,0,0,0,9.78,4.35,2.17,0,1.09,0,0,0,0,2.17,0,0
The exam will be available 8/5 to 8/16. You can take it any time within those dates (and there are no time limits except those dates).,1,212,28,38.6,50,52.86,25.77,14,3.57,82.14,53.57,14.29,3.57,0,0,3.57,0,0,10.71,3.57,10.71,14.29,3.57,3.57,3.57,14.29,0,0,0,14.29,3.57,0,0,0,0,0,0,3.57,0,0,0,0,7.14,0,0,0,3.57,0,3.57,0,0,0,0,0,0,0,0,0,7.14,0,3.57,0,3.57,0,0,14.29,3.57,17.86,0,3.57,14.29,3.57,0,0,0,0,0,0,0,0,0,0,0,21.43,7.14,0,0,0,0,0,0,0,0,7.14,7.14
The test will be up on Monday!,1,314,7,99,50,99,25.77,7,0,100,71.43,0,0,0,0,0,0,0,0,14.29,28.57,28.57,0,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,14.29,14.29,42.86,0,28.57,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,14.29,0,0,0,0,0
Yes,1,81,1,93.26,50,1,25.77,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thanks for the feedback! The homeworks are harder than the quizzes by design!  I do want to challenge you. I will make you calculate a few things by hand, especially when I think it's instructive to go through it. Some of the worst errors I see in medical papers could have been caught by simple hand calculations; so even though you will mostly be doing things on the computer, I do think it's worth going through some of the easier math by hand! I hope we will have a way to avoid penalizing for carry-through errors in the next version of the course, or I may revise the set up of this particular question. But the good news is, there are none of these types of questions on the final exam :)",1,282,133,81.75,38.16,40.45,80.33,19,13.53,93.23,60.15,13.53,8.27,5.26,0.75,2.26,0,0,5.26,9.77,18.05,12.78,5.26,3.76,0.75,21.05,6.77,3.76,0.75,0,3.01,6.02,4.51,1.5,0.75,0,0,3.76,0,0,0,0,13.53,3.01,0.75,2.26,6.02,0.75,3.76,3.76,0.75,0,3.01,3.01,2.26,0.75,0,0,4.51,0.75,0.75,0.75,0.75,1.5,1.5,14.29,4.51,9.77,3.01,4.51,2.26,8.27,0,0.75,0.75,0,0,0.75,0,0.75,0,0,0,10.53,2.26,3.01,0,0.75,0,2.26,0.75,0,1.5,0,0
"Yes, it's about sample size--but it may be about the sample size of certain subgroups and not just the overall sample size. For example, if you only have 1 person in a particular category that you were analyzing, this would be considered sparse even if the study has 1000 people.",1,85,51,27.29,57.77,3.12,62.94,25.5,15.69,84.31,58.82,11.76,3.92,0,0,3.92,0,0,7.84,7.84,9.8,15.69,9.8,7.84,1.96,17.65,1.96,1.96,0,3.92,5.88,1.96,1.96,0,0,0,0,7.84,0,0,0,0,21.57,5.88,0,5.88,7.84,1.96,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,9.8,1.96,1.96,0,1.96,0,3.92,0,0,0,0,0,1.96,0,0,1.96,0,0,15.69,3.92,5.88,0,0,0,0,3.92,0,1.96,0,0
It will be posted 8/5 until 8/16. You can complete it any time in that window.,1,188,18,18.82,86.68,23.51,25.77,9,5.56,77.78,50,22.22,5.56,0,0,5.56,0,0,16.67,0,11.11,16.67,0,5.56,0,16.67,0,0,0,22.22,5.56,0,0,0,0,0,0,5.56,0,0,0,0,11.11,0,0,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,11.11,5.56,16.67,0,5.56,11.11,0,0,5.56,0,0,0,0,0,0,0,0,0,22.22,11.11,0,0,0,0,0,0,0,0,0,11.11
It really depends on the context!,1,74,6,93.26,4.8,98.01,25.77,6,33.33,83.33,66.67,16.67,0,0,0,0,0,0,16.67,16.67,16.67,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,16.67,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,16.67,0,0,0,0,0
Thanks for catching!,1,83,3,99,50,1,99,3,33.33,100,33.33,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,66.67,0,0,0,0,0,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,33.33,0,0,0,0,0
"see the correct way, under \best answer\""http://goo.gl/8UPgaH""",1,215,12,99,50,74.76,99,12,8.33,66.67,16.67,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,8.33,8.33,8.33,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,16.67,8.33,0,0,0,8.33,0,8.33,8.33,0,0,0,0,0,0,0,16.67,0,8.33,16.67,8.33,0,0,8.33,0,16.67,0,16.67,0,0,0,0,0,0,0,8.33,0,8.33,0,0,0,66.67,8.33,8.33,0,0,0,0,0,16.67,0,0,33.33
Thanks,0,81,1,93.26,50,1,99,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"If I'd like to compare the sensitivities of 2 different methods that were tested on the  same samples. Should I use McNemar?. I'm a little confused because it would be like two proportion comparison of paired data, right? but also compared to a gold standard. Thank you!",0,65,47,72.05,19.75,8.51,25.77,9.4,25.53,80.85,53.19,12.77,8.51,6.38,0,2.13,0,0,4.26,8.51,14.89,12.77,2.13,8.51,0,19.15,10.64,14.89,0,4.26,2.13,4.26,2.13,2.13,2.13,0,0,2.13,0,0,0,0,17.02,0,4.26,6.38,4.26,0,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26,8.51,0,6.38,0,6.38,0,2.13,0,0,0,0,0,0,0,0,0,0,0,19.15,6.38,2.13,0,0,4.26,2.13,0,0,4.26,0,0
"Thanks Dr. <redacted>. I now realized that I wouldn't even think of using a paired test if both variables are continuous here.Yet I still think the wording of the question seems confusing. As I see, the chi-square test is actually testing if 'vasity' and 'IsBookSmart' are independent. Thus, a question I can understand is:\whether there is a difference in whether you played a vasity sport in high school whether you consider yourself 'book smart' or 'stree smart'\"". (Eliminating the 'and' before the last 'whether' in the question and it suddenly makes all sense to me. Could be my poor English comprehension, though.)""",0,118,105,39.26,19.58,98.01,61.9,17.5,24.76,88.57,56.19,11.43,9.52,6.67,0,2.86,0,0,1.9,9.52,7.62,8.57,9.52,11.43,0.95,19.05,7.62,2.86,3.81,0,1.9,5.71,3.81,1.9,0.95,0,0,5.71,0,0,0,0,28.57,10.48,3.81,3.81,8.57,0.95,9.52,2.86,1.9,0,0,0,0,0,0,0,1.9,0,0,1.9,0,0,1.9,15.24,0,10.48,0,4.76,5.71,4.76,2.86,0,0.95,0,0,0,0,0,0,0,0,32.38,7.62,2.86,0.95,0,0,0,0.95,1.9,12.38,1.9,3.81
"In the Q11 we are asked to define the nature of DHA data. On the top of the table there's written continous in brackets. What does it mean? and also in the following Q12 these values are presented as % that is a discrete value, not a continue. Could I ask more ditails about question 11 of homework 8, please?",0,285,59,89.5,63.27,34.72,97.07,11.8,16.95,77.97,54.24,10.17,3.39,1.69,1.69,0,0,0,6.78,11.86,16.95,10.17,5.08,5.08,1.69,20.34,6.78,5.08,1.69,3.39,1.69,5.08,5.08,0,0,0,0,6.78,0,0,0,0,8.47,5.08,0,1.69,1.69,0,1.69,0,0,0,0,0,0,0,0,0,3.39,1.69,1.69,1.69,0,0,3.39,15.25,0,11.86,1.69,8.47,1.69,3.39,0,1.69,0,0,0,0,0,0,0,0,0,15.25,5.08,3.39,0,0,3.39,0,0,0,1.69,0,1.69
"Why differentiate only over beta? Surely the residual sum of squares depends also on alpha, so shouldn't we minimize over 2 variables instead of 1?",0,51,25,63.83,34.44,20.24,91.14,12.5,32,68,52,4,4,0,4,0,0,0,0,4,20,4,20,8,4,8,0,0,4,8,0,4,4,0,0,0,0,4,0,0,0,0,28,0,8,4,8,4,8,0,0,0,0,0,0,0,0,0,12,4,0,8,0,0,0,4,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,0,0,8,0,0,0,4,0,0
Awesome! Thank you very much!,0,304,5,8.69,99,1,99,2.5,20,100,40,20,20,0,0,20,0,0,0,0,0,0,20,0,0,20,20,0,0,0,20,40,40,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,40,0,0,0,0,0,40,0,0,0,0,0
"Thanks for the reply, Kristin (if I may). That's what I was thinking. (*First*  formula posted above.)",1,112,17,27.29,11.97,91.95,98.87,5.67,17.65,88.24,58.82,23.53,11.76,11.76,0,0,0,0,11.76,5.88,11.76,17.65,0,5.88,0,35.29,0,0,5.88,5.88,0,5.88,5.88,0,0,0,0,5.88,0,0,0,0,17.65,5.88,0,5.88,11.76,0,5.88,0,0,0,0,0,0,0,0,0,11.76,0,5.88,5.88,0,0,11.76,11.76,5.88,11.76,0,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0,0,64.71,17.65,5.88,0,0,0,0,0,0,5.88,23.53,11.76
